,id,age,ova,pot,value,release clause,total stats,base stats
0,16,37,71,71,600000,1100000,1906,385
1,41,36,81,81,5500000,7200000,2014,420
2,80,38,77,77,2800000,5300000,2017,403
3,1179,42,82,82,2200000,3600000,1292,429
4,2147,37,72,72,325000,455000,1150,388
5,2196,36,75,75,900000,1500000,1058,376
6,2492,33,76,76,300000,5900000,2113,442
7,3281,36,72,72,975000,200000,1923,395
8,3467,37,71,71,850000,1300000,1755,372
9,3484,37,66,66,45000,171000,1463,296
10,5479,38,79,79,1300000,2600000,1300,430
11,5879,34,72,72,1600000,2600000,1694,348
12,6826,38,70,70,375000,713000,1833,367
13,7743,35,73,73,1800000,300000,1872,387
14,7763,38,77,77,2200000,4200000,1741,349
15,7826,34,78,78,5500000,7700000,1876,381
16,8473,36,79,79,4200000,9300000,1979,410
17,9014,36,80,80,500000,7300000,1970,407
18,9676,36,81,81,6500000,1300000,2019,415
19,10899,36,63,63,130000,228000,1615,331
20,11381,38,64,64,45000,79000,1074,351
21,13732,36,76,76,100000,200000,1646,338
22,13739,36,61,61,80000,140000,1666,332
23,16254,40,71,71,240000,348000,1221,399
24,18122,39,73,73,400000,600000,1110,386
25,19292,34,72,72,950000,1800000,1542,314
26,19521,36,58,58,45000,79000,1502,332
27,20209,39,73,73,550000,1200000,1598,326
28,20289,35,80,80,600000,12600000,2073,433
29,20775,36,79,79,4200000,8800000,1928,396
30,20800,34,76,76,3900000,8200000,1892,389
31,20801,35,92,92,4600000,75900000,2221,464
32,21146,35,79,79,300000,5500000,1970,398
33,22391,38,56,56,30000,47000,1531,288
34,23466,33,67,67,300000,508000,1895,379
35,24248,38,73,73,100000,1800000,1775,350
36,25798,38,73,73,1400000,3100000,1595,329
37,26709,38,73,73,275000,935000,1754,349
38,29118,38,54,54,15000,25000,1414,288
39,31831,34,77,77,4300000,5400000,2005,396
40,34079,37,70,70,80000,380000,1881,389
41,36111,38,68,68,190000,276000,1762,352
42,39386,37,68,68,100000,232000,1863,391
43,41233,35,64,64,210000,368000,1591,323
44,41236,38,83,83,9500000,16200000,1996,407
45,41734,36,68,68,275000,420000,1870,371
46,45186,38,80,80,500000,10500000,1959,412
47,45534,36,66,66,90000,117000,1386,287
48,45574,35,67,67,325000,406000,1720,331
49,45595,37,75,75,450000,1900000,1491,314
50,45605,37,69,69,275000,585000,1872,380
51,45842,35,68,68,210000,399000,1484,306
52,46175,36,72,72,1100000,1400000,1891,389
53,46590,33,71,71,950000,1800000,1449,313
54,46736,37,75,75,450000,1500000,1568,317
55,46857,37,68,68,275000,344000,1788,354
56,47201,37,75,75,675000,1100000,1288,416
57,48717,37,80,80,100000,200000,1263,421
58,48745,38,71,71,475000,713000,1742,350
59,48940,36,81,81,2400000,4600000,1161,426
60,49000,38,74,74,575000,100000,1283,400
61,49045,34,70,70,925000,1600000,1648,332
62,49161,39,70,70,240000,360000,1588,336
63,49369,34,77,77,4700000,5800000,1852,393
64,49370,34,80,80,4500000,8300000,1944,390
65,49472,37,73,73,400000,800000,1095,386
66,49674,37,70,70,625000,938000,1778,367
67,49756,35,65,65,230000,288000,1753,350
68,49966,33,67,67,300000,450000,1416,296
69,50542,37,73,73,1400000,2500000,1764,358
70,50632,38,63,63,70000,123000,1420,290
71,50955,37,67,67,250000,438000,1785,362
72,51257,37,72,72,900000,2100000,1622,326
73,51261,35,70,70,425000,808000,1181,392
74,51412,37,70,70,475000,1100000,1904,383
75,51694,38,65,65,50000,63000,1153,361
76,51887,34,65,65,275000,490000,1689,337
77,52091,36,75,75,775000,1500000,1944,406
78,52126,39,68,68,220000,440000,1783,357
79,52270,33,71,71,950000,1400000,1615,335
80,52306,35,67,67,325000,618000,1925,384
81,52326,35,66,66,170000,323000,1116,357
82,52340,36,66,66,130000,189000,1604,324
